datetime_et,calendar_date_et,session_date,time_et,session,open,high,low,close,volume
2026-09-01T07:59:00-04:00,2026-09-01,2026-09-01,07:59:00,premarket,362.59,362.6661,362.57,362.6661,976
2026-09-01T08:00:00-04:00,2026-09-01,2026-09-01,08:00:00,premarket,362.68,362.73,362.53,362.53,2393
2026-09-01T08:01:00-04:00,2026-09-01,2026-09-01,08:01:00,premarket,362.55,362.59,362.4,362.4136,4484
2026-09-01T08:02:00-04:00,2026-09-01,2026-09-01,08:02:00,premarket,362.51,362.54,362.27,362.4,8542
2026-09-01T08:03:00-04:00,2026-09-01,2026-09-01,08:03:00,premarket,362.5,362.6799,362.49,362.592,880
2026-09-01T08:04:00-04:00,2026-09-01,2026-09-01,08:04:00,premarket,362.508,362.8,362.508,362.8,6080
2026-09-01T08:05:00-04:00,2026-09-01,2026-09-01,08:05:00,premarket,362.8395,362.85,362.53,362.53,9764
2026-09-01T08:06:00-04:00,2026-09-01,2026-09-01,08:06:00,premarket,362.64,362.8132,362.55,362.6,2124
2026-09-01T08:07:00-04:00,2026-09-01,2026-09-01,08:07:00,premarket,362.5,362.6296,362.41,362.5201,1781
2026-09-01T08:08:00-04:00,2026-09-01,2026-09-01,08:08:00,premarket,362.58,362.75,362.54,362.75,1254
2026-09-01T08:09:00-04:00,2026-09-01,2026-09-01,08:09:00,premarket,362.7047,362.81,362.56,362.6089,2414
2026-09-01T08:10:00-04:00,2026-09-01,2026-09-01,08:10:00,premarket,362.6106,362.744,362.562,362.62,1240
2026-09-01T08:11:00-04:00,2026-09-01,2026-09-01,08:11:00,premarket,362.62,362.65,362.45,362.54,1839
2026-09-01T08:12:00-04:00,2026-09-01,2026-09-01,08:12:00,premarket,362.5,362.71,362.5,362.71,1782
2026-09-01T08:13:00-04:00,2026-09-01,2026-09-01,08:13:00,premarket,362.63,362.67,362.5078,362.63,2485
2026-09-01T08:14:00-04:00,2026-09-01,2026-09-01,08:14:00,premarket,362.66,362.74,362.65,362.69,1302
2026-09-01T08:15:00-04:00,2026-09-01,2026-09-01,08:15:00,premarket,362.78,362.78,362.63,362.69,1065
2026-09-01T08:16:00-04:00,2026-09-01,2026-09-01,08:16:00,premarket,362.62,362.78,362.56,362.68,2434
2026-09-01T08:17:00-04:00,2026-09-01,2026-09-01,08:17:00,premarket,362.6315,362.89,362.6315,362.8497,2338
2026-09-01T08:18:00-04:00,2026-09-01,2026-09-01,08:18:00,premarket,362.88,362.9225,362.63,362.71,2570
2026-09-01T08:19:00-04:00,2026-09-01,2026-09-01,08:19:00,premarket,362.89,362.89,362.6,362.62,2663
2026-09-01T08:20:00-04:00,2026-09-01,2026-09-01,08:20:00,premarket,362.62,362.86,362.52,362.86,1608
2026-09-01T08:21:00-04:00,2026-09-01,2026-09-01,08:21:00,premarket,362.6,362.7,362.5,362.5,3668
2026-09-01T08:22:00-04:00,2026-09-01,2026-09-01,08:22:00,premarket,362.45,362.57,362.38,362.4,1825
2026-09-01T08:23:00-04:00,2026-09-01,2026-09-01,08:23:00,premarket,362.48,362.48,362.3486,362.48,2297
2026-09-01T08:24:00-04:00,2026-09-01,2026-09-01,08:24:00,premarket,362.41,362.57,362.41,362.57,1212
2026-09-01T08:25:00-04:00,2026-09-01,2026-09-01,08:25:00,premarket,362.46,362.5542,362.46,362.52,1469
2026-09-01T08:26:00-04:00,2026-09-01,2026-09-01,08:26:00,premarket,362.53,362.9,362.53,362.57,1397
2026-09-01T08:27:00-04:00,2026-09-01,2026-09-01,08:27:00,premarket,362.75,362.8845,362.672,362.8482,3020
2026-09-01T08:28:00-04:00,2026-09-01,2026-09-01,08:28:00,premarket,362.853,362.93,362.75,362.89,2586
2026-09-01T08:29:00-04:00,2026-09-01,2026-09-01,08:29:00,premarket,362.7794,363,362.7794,363,843
2026-09-01T08:30:00-04:00,2026-09-01,2026-09-01,08:30:00,premarket,362.88,362.97,362.75,362.8,2053
2026-09-01T08:31:00-04:00,2026-09-01,2026-09-01,08:31:00,premarket,362.7996,362.8,362.5815,362.5815,1368
2026-09-01T08:32:00-04:00,2026-09-01,2026-09-01,08:32:00,premarket,362.6748,362.6748,362.5,362.5,1601
2026-09-01T08:33:00-04:00,2026-09-01,2026-09-01,08:33:00,premarket,362.44,362.59,362.423,362.5122,2570
2026-09-01T08:34:00-04:00,2026-09-01,2026-09-01,08:34:00,premarket,362.5,362.52,362.5,362.5093,740
2026-09-01T08:35:00-04:00,2026-09-01,2026-09-01,08:35:00,premarket,362.5,362.5,362.2213,362.25,6036
2026-09-01T08:36:00-04:00,2026-09-01,2026-09-01,08:36:00,premarket,362.28,362.28,361.85,361.85,16182
2026-09-01T08:37:00-04:00,2026-09-01,2026-09-01,08:37:00,premarket,361.969,362,361.8,361.82,3510
2026-09-01T08:38:00-04:00,2026-09-01,2026-09-01,08:38:00,premarket,361.83,361.98,361.66,361.96,7420
2026-09-01T08:39:00-04:00,2026-09-01,2026-09-01,08:39:00,premarket,361.9177,362.28,361.75,362.1156,4457
2026-09-01T08:40:00-04:00,2026-09-01,2026-09-01,08:40:00,premarket,362.12,362.12,361.95,362,3375
2026-09-01T08:41:00-04:00,2026-09-01,2026-09-01,08:41:00,premarket,362.1,362.15,362,362.15,1543
2026-09-01T08:42:00-04:00,2026-09-01,2026-09-01,08:42:00,premarket,362.1,362.3092,362.1,362.15,3222
2026-09-01T08:43:00-04:00,2026-09-01,2026-09-01,08:43:00,premarket,362.11,362.12,362,362.12,1208
2026-09-01T08:44:00-04:00,2026-09-01,2026-09-01,08:44:00,premarket,362.05,362.09,361.97,361.9828,2715
2026-09-01T08:45:00-04:00,2026-09-01,2026-09-01,08:45:00,premarket,361.9992,362.14,361.9992,362.1,1235
2026-09-01T08:46:00-04:00,2026-09-01,2026-09-01,08:46:00,premarket,362.1437,362.18,362.1,362.18,1194
