datetime_et,calendar_date_et,session_date,time_et,session,open,high,low,close,volume
2026-08-25T07:00:00-04:00,2026-08-25,2026-08-25,07:00:00,premarket,351.59,351.75,351.35,351.35,8942
2026-08-25T07:01:00-04:00,2026-08-25,2026-08-25,07:01:00,premarket,351.42,351.4604,351.06,351.06,2720
2026-08-25T07:02:00-04:00,2026-08-25,2026-08-25,07:02:00,premarket,351.05,351.24,351.05,351.14,2248
2026-08-25T07:03:00-04:00,2026-08-25,2026-08-25,07:03:00,premarket,351.24,351.24,351.0612,351.0612,1400
2026-08-25T07:04:00-04:00,2026-08-25,2026-08-25,07:04:00,premarket,351.1,351.2,351.05,351.0607,2277
2026-08-25T07:05:00-04:00,2026-08-25,2026-08-25,07:05:00,premarket,351.0711,351.13,351.067,351.13,950
2026-08-25T07:06:00-04:00,2026-08-25,2026-08-25,07:06:00,premarket,351.1292,351.1292,351.0501,351.0501,1463
2026-08-25T07:07:00-04:00,2026-08-25,2026-08-25,07:07:00,premarket,351.08,351.1,351.0155,351.05,1062
2026-08-25T07:08:00-04:00,2026-08-25,2026-08-25,07:08:00,premarket,351.0812,351.1,351.05,351.1,251
2026-08-25T07:09:00-04:00,2026-08-25,2026-08-25,07:09:00,premarket,351.03,351.0861,350.6,350.78,6849
2026-08-25T07:10:00-04:00,2026-08-25,2026-08-25,07:10:00,premarket,350.7556,350.9,350.75,350.8,2995
2026-08-25T07:11:00-04:00,2026-08-25,2026-08-25,07:11:00,premarket,350.8,350.9,350.7626,350.81,702
2026-08-25T07:12:00-04:00,2026-08-25,2026-08-25,07:12:00,premarket,350.81,350.8724,350.6,350.75,1415
2026-08-25T07:13:00-04:00,2026-08-25,2026-08-25,07:13:00,premarket,350.71,350.79,350.7,350.79,1353
2026-08-25T07:14:00-04:00,2026-08-25,2026-08-25,07:14:00,premarket,350.76,350.8693,350.7,350.73,898
2026-08-25T07:15:00-04:00,2026-08-25,2026-08-25,07:15:00,premarket,350.85,350.85,350.8,350.8034,404
