datetime_et,calendar_date_et,session_date,time_et,session,open,high,low,close,volume
2026-08-27T07:00:00-04:00,2026-08-27,2026-08-27,07:00:00,premarket,347.18,347.41,347.1456,347.33,3180
2026-08-27T07:01:00-04:00,2026-08-27,2026-08-27,07:01:00,premarket,347.35,347.4,347.35,347.4,1651
2026-08-27T07:02:00-04:00,2026-08-27,2026-08-27,07:02:00,premarket,347.27,347.27,347.11,347.1377,1230
2026-08-27T07:03:00-04:00,2026-08-27,2026-08-27,07:03:00,premarket,347.25,347.25,347.19,347.19,291
2026-08-27T07:04:00-04:00,2026-08-27,2026-08-27,07:04:00,premarket,347.24,347.5,347.24,347.5,729
2026-08-27T07:05:00-04:00,2026-08-27,2026-08-27,07:05:00,premarket,347.49,347.63,347.49,347.63,1174
2026-08-27T07:06:00-04:00,2026-08-27,2026-08-27,07:06:00,premarket,347.5,347.5,347.5,347.5,244
2026-08-27T07:07:00-04:00,2026-08-27,2026-08-27,07:07:00,premarket,347.5,347.5,347.4,347.4,123
2026-08-27T07:08:00-04:00,2026-08-27,2026-08-27,07:08:00,premarket,347.44,347.5,347.2,347.2,473
2026-08-27T07:09:00-04:00,2026-08-27,2026-08-27,07:09:00,premarket,347.25,347.57,347.25,347.57,171
2026-08-27T07:10:00-04:00,2026-08-27,2026-08-27,07:10:00,premarket,347.5124,347.6,347.5124,347.6,1249
2026-08-27T07:11:00-04:00,2026-08-27,2026-08-27,07:11:00,premarket,347.5866,347.5866,347.55,347.55,900
2026-08-27T07:12:00-04:00,2026-08-27,2026-08-27,07:12:00,premarket,347.51,347.63,347.51,347.63,476
2026-08-27T07:13:00-04:00,2026-08-27,2026-08-27,07:13:00,premarket,347.7,347.88,347.7,347.8,719
2026-08-27T07:14:00-04:00,2026-08-27,2026-08-27,07:14:00,premarket,347.62,347.72,347.61,347.61,3389
2026-08-27T07:15:00-04:00,2026-08-27,2026-08-27,07:15:00,premarket,347.6735,347.7,347.61,347.68,1430
2026-08-27T07:16:00-04:00,2026-08-27,2026-08-27,07:16:00,premarket,347.61,347.653,347.56,347.6051,1061
2026-08-27T07:17:00-04:00,2026-08-27,2026-08-27,07:17:00,premarket,347.53,347.56,347.45,347.51,1181
2026-08-27T07:18:00-04:00,2026-08-27,2026-08-27,07:18:00,premarket,347.27,347.4541,347.27,347.37,920
2026-08-27T07:19:00-04:00,2026-08-27,2026-08-27,07:19:00,premarket,347.3515,347.3515,347.15,347.15,357
2026-08-27T07:20:00-04:00,2026-08-27,2026-08-27,07:20:00,premarket,347.3,347.37,347.3,347.35,324
2026-08-27T07:21:00-04:00,2026-08-27,2026-08-27,07:21:00,premarket,347.29,347.37,347.25,347.25,602
2026-08-27T07:22:00-04:00,2026-08-27,2026-08-27,07:22:00,premarket,347.27,347.31,347.25,347.25,187
2026-08-27T07:23:00-04:00,2026-08-27,2026-08-27,07:23:00,premarket,347.28,347.28,347.28,347.28,100
2026-08-27T07:24:00-04:00,2026-08-27,2026-08-27,07:24:00,premarket,347.3,347.3,347.0961,347.16,2626
2026-08-27T07:25:00-04:00,2026-08-27,2026-08-27,07:25:00,premarket,347.1,347.16,347.0566,347.1,955
2026-08-27T07:26:00-04:00,2026-08-27,2026-08-27,07:26:00,premarket,347.15,347.15,347,347,797
2026-08-27T07:27:00-04:00,2026-08-27,2026-08-27,07:27:00,premarket,346.97,346.97,346.85,346.85,1471
2026-08-27T07:28:00-04:00,2026-08-27,2026-08-27,07:28:00,premarket,346.91,346.91,346.8,346.8,1828
2026-08-27T07:29:00-04:00,2026-08-27,2026-08-27,07:29:00,premarket,346.8,346.8,346.56,346.59,2112
2026-08-27T07:30:00-04:00,2026-08-27,2026-08-27,07:30:00,premarket,346.59,346.6,346.28,346.28,3669
2026-08-27T07:31:00-04:00,2026-08-27,2026-08-27,07:31:00,premarket,346.32,346.74,346.3,346.55,1454
2026-08-27T07:32:00-04:00,2026-08-27,2026-08-27,07:32:00,premarket,346.35,346.4,346.28,346.29,677
2026-08-27T07:34:00-04:00,2026-08-27,2026-08-27,07:34:00,premarket,346.48,346.55,346.48,346.55,245
2026-08-27T07:35:00-04:00,2026-08-27,2026-08-27,07:35:00,premarket,346.9294,346.99,346.49,346.5,949
2026-08-27T07:36:00-04:00,2026-08-27,2026-08-27,07:36:00,premarket,346.45,346.45,346.3,346.3,2546
2026-08-27T07:37:00-04:00,2026-08-27,2026-08-27,07:37:00,premarket,346.41,346.41,346.16,346.16,1823
2026-08-27T07:38:00-04:00,2026-08-27,2026-08-27,07:38:00,premarket,346.35,346.35,346.15,346.29,795
2026-08-27T07:39:00-04:00,2026-08-27,2026-08-27,07:39:00,premarket,346.3,346.3,346.2,346.25,495
2026-08-27T07:40:00-04:00,2026-08-27,2026-08-27,07:40:00,premarket,346.25,346.35,346.25,346.35,291
2026-08-27T07:41:00-04:00,2026-08-27,2026-08-27,07:41:00,premarket,346.3279,346.36,346.31,346.36,295
